Plant_Id,fuel_cost_2012.01,fuel_cost_2012.02,fuel_cost_2012.03,fuel_cost_2012.04,fuel_cost_2012.05,fuel_cost_2012.06,fuel_cost_2012.07,fuel_cost_2012.08,fuel_cost_2012.09,fuel_cost_2012.10,fuel_cost_2012.11,fuel_cost_2012.12,generation_MWh_2012.01,generation_MWh_2012.02,generation_MWh_2012.03,generation_MWh_2012.04,generation_MWh_2012.05,generation_MWh_2012.06,generation_MWh_2012.07,generation_MWh_2012.08,generation_MWh_2012.09,generation_MWh_2012.10,generation_MWh_2012.11,generation_MWh_2012.12
202,0,0,278.00,0,315.40,311.80,344.00,341.40,0,0,0,0,0.00,0.00,2347.00,0.00,8531.00,6174.00,18962.00,10488.00,0.00,0.00,0.00,0.00
203,310.50,302.50,299.60,256.10,294.40,295.30,346.50,0,330.40,381.30,0,398.50,23169.00,20923.00,1366.00,12414.00,31085.00,22647.00,22987.00,22321.00,21618.00,8988.00,0.00,11777.00
207,1510.20,1499.60,1038.60,1041.10,1050.60,1014.30,1077.10,1099.40,1090.90,1134.10,1138.60,1185.50,238475.00,304031.00,308719.00,494336.00,488985.00,621855.00,703639.00,688977.00,654766.00,584551.00,536898.00,590167.00
228,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4766.00,1209.00,2866.00,-393.00,-371.00,7750.00,1454.00,50679.00,12859.00,18521.00,19589.00,12441.00
246,416.00,710.00,3162.00,311.00,309.00,352.00,373.00,377.00,375.00,3052.00,3009.00,3025.00,0,0,0,0,0,0,0,0,0,0,0,0
259,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,11816.00,0.00,6735.00,20571.00,22888.00,31.00,8034.00,75067.00,37689.00,22106.00,0.00,0.00
260,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6197.00,3139.00,20972.00,21595.00,75861.00,119923.00,245388.00,7685.00,51377.00,36656.00,0.00
271,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-501.00,-507.00,81.00,29545.00,-445.00,1515.00,1014.00,61111.00,2579.00,58415.00,57655.00,9134.00
298,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1103303.00,929848.00,442107.00,276420.00,1066883.00,1026479.00,1211712.00,1048963.00,1140947.00,1207866.00,997934.00,1064003.00
302,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41521.00,146093.00,163580.00,97550.00,104764.00,74465.00,72104.00,188775.00,193797.00,106675.00,122503.00,62105.00
315,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80835.00,51777.00,22260.00,149849.00,146405.00,61062.00,104112.00,366511.00,156895.00,195260.00,81700.00,48081.00
329,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-88.00,-352.00,-352.00,664.00,14907.00,10604.00,15107.00,55062.00,43525.00,24123.00,20603.00,9926.00
330,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1494.00,7456.00,6282.00,9720.00,44485.00,31736.00,46646.00,139952.00,122856.00,95222.00,42962.00,53813.00
331,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,378.00,2468.00,4820.00,355.00,410.00,7510.00,25667.00,95954.00,56174.00,46173.00,6677.00,6319.00
335,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33678.00,65296.00,76612.00,43640.00,140232.00,81164.00,67660.00,183385.00,234874.00,156898.00,41965.00,42217.00
341,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0
345,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3565.00,1935.00,0.00,1193.00,17527.00,9925.00,23402.00,74969.00,33169.00,17803.00,19226.00,7851.00
350,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,18.00,0.00,0.00,5.00,0.00,10677.00,41250.00,140667.00,25900.00,32860.00,0.00,4.00
356,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,540.00,1140.00,5365.00,161999.00,137054.00,35883.00,15467.00,159056.00,9178.00,18931.00,780.00,2245.00
358,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156912.00,233474.00,215487.00,145547.00,211034.00,199282.00,226370.00,235311.00,237769.00,190611.00,238659.00,221562.00
377,380.40,339.60,300.80,293.30,346.00,322.30,394.60,366.70,353.20,440.00,412.50,477.40,12124.00,12550.00,12853.00,11474.00,11994.00,10760.00,11314.00,16630.00,13237.00,12502.00,13041.00,12099.00
384,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,566721.00,431792.00,96044.00,255191.00,472969.00,423786.00,544689.00,521700.00,480610.00,456413.00,512189.00,375155.00
389,333.40,316.60,291.00,345.00,366.00,430.00,421.90,462.40,426.80,387.90,395.40,399.20,26603.00,31612.00,34724.00,23800.00,30400.00,36657.00,37082.00,35179.00,33831.00,41332.00,32205.00,28639.00
399,468.20,460.30,456.60,431.70,465.50,459.80,447.10,408.40,418.50,482.10,546.60,544.60,0.00,835.00,0.00,0.00,3358.00,0.00,263.00,11292.00,3285.00,4111.00,2330.00,786.00
400,468.20,460.30,456.60,431.70,465.50,459.80,447.10,408.40,418.50,482.10,546.60,544.60,136647.00,154902.00,76556.00,130442.00,195512.00,164414.00,246730.00,369576.00,285385.00,206714.00,119188.00,169864.00
404,468.20,460.30,456.60,431.70,465.50,459.80,447.10,408.40,418.50,482.10,546.60,544.60,62724.00,42135.00,82603.00,109765.00,37513.00,37856.00,114410.00,169315.00,169379.00,160361.00,50851.00,50308.00
408,468.20,460.30,456.60,431.70,465.50,459.80,447.10,408.40,418.50,482.10,546.60,544.60,125216.00,116464.00,124295.00,115372.00,114542.00,102348.00,58244.00,106727.00,110834.00,70238.00,111090.00,28546.00
420,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,4350.00,10369.00,26460.00,9758.00,4528.00,16141.00,18756.00,11914.00,14706.00,16876.00
